Country Name;% Muslim
Cyprus;22.7
Albania;82.1
Austria;5.7
Belarus;0.2
Belgium;6
Bulgaria;13.4
Croatia;1.3
Czech Republic;0.1
Denmark;4.1
Estonia;0.1
Finland;0.8
France;7.5
Germany;5
Greece;4.7
Hungary;0.3
Ireland;0.9
Italy;2.6
Latvia;0.1
Liechtenstein;4.8
Lithuania;0.1
Luxembourg;2.3
Malta;0.3
Moldova;0.4
Netherlands;5.5
Norway;3
Poland;0.1
Portugal;0.6
Macedonia FYR;34.9
Serbia;3.7
Slovak Republic;0.1
Slovenia;2.4
Spain;2.3
Sweden;4.9
Switzerland;5.7
Ukraine;0.9
United Kingdom;4.6
